Id,ORIG_FID,Shape_Leng,X,Y,R
0,1,4194.203966,12358443.13,4266085.062,33
0,1,4194.203966,12358381.77,4266109.15,33
0,1,4194.203966,12358318.08,4266126.365,33
0,1,4194.203966,12358256.4,4266149.804,33
0,1,4194.203966,12358196.05,4266176.523,33
0,1,4194.203966,12358136.45,4266204.814,33
0,1,4194.203966,12358076.1,4266230.784,33
0,1,4194.203966,12358012.8,4266249.466,33
0,1,4194.203966,12357948.02,4266254.406,33
0,1,4194.203966,12357885.92,4266268.561,33
0,1,4194.203966,12357840.7,4266316.482,33
0,1,4194.203966,12357788.95,4266356.892,33
0,1,4194.203966,12357840.38,4266350.495,33
0,1,4194.203966,12357882.21,4266300.363,33
0,1,4194.203966,12357944.92,4266283.684,33
0,1,4194.203966,12356377.19,4266239.025,33
0,1,4194.203966,12356437.85,4266231.654,33
0,1,4194.203966,12356403.51,4266189.973,33
0,1,4194.203966,12356458.7,4266157.01,33
0,1,4194.203966,12357905.33,4266322.571,33
0,1,4194.203966,12357877.51,4266380.58,33
0,1,4194.203966,12357821.66,4266411.766,33
0,1,4194.203966,12357758.31,4266429.401,33
0,1,4194.203966,12357694.42,4266444.385,33
0,1,4194.203966,12357629.24,4266454.191,33
0,1,4194.203966,12357912.84,4266349.533,33
0,1,4194.203966,12357914.07,4266411.433,33
0,1,4194.203966,12357919.14,4266476.077,33
0,1,4194.203966,12357892.37,4266534.413,33
0,1,4194.203966,12357848.81,4266559.179,33
0,1,4194.203966,12357800.84,4266546.243,33
0,1,4194.203966,12357805.29,4266611.423,33
0,1,4194.203966,12357809.35,4266676.831,33
0,1,4194.203966,12357830.75,4266732.353,33
0,1,4194.203966,12357885.91,4266768.373,33
0,1,4194.203966,12357946.2,4266762.312,33
0,1,4194.203966,12357999.95,4266724.714,33
0,1,4194.203966,12358056.45,4266691.516,33
0,1,4194.203966,12358121.21,4266683.767,33
0,1,4194.203966,12358178.03,4266709.691,33
0,1,4194.203966,12358241.72,4266724.853,33
0,1,4194.203966,12358305.34,4266727.358,33
0,1,4194.203966,12358361.26,4266702.162,33
0,1,4194.203966,12358422.49,4266678.707,33
0,1,4194.203966,12358481.07,4266655.446,33
0,1,4194.203966,12358494.69,4266683.034,33
0,1,4194.203966,12358445.56,4266725.411,33
0,1,4194.203966,12358386.24,4266754.28,33
0,1,4194.203966,12358324.56,4266776.632,33
0,1,4194.203966,12358262.65,4266798.207,33
0,1,4194.203966,12358198.32,4266811.55,33
0,1,4194.203966,12358132.97,4266804.578,33
0,1,4194.203966,12358071.69,4266816.953,33
0,1,4194.203966,12358016.88,4266851.309,33
0,1,4194.203966,12357975.29,4266902.002,33
0,1,4194.203966,12357916.66,4266932.074,33
0,1,4194.203966,12357860.83,4266967.228,33
0,1,4194.203966,12357825.39,4267021.931,33
0,1,4194.203966,12357775.76,4267065.446,33
0,1,4194.203966,12357720.82,4267100.456,33
0,1,4194.203966,12357661.8,4267072.811,33
0,1,4194.203966,12357630.15,4267111.048,33
0,1,4194.203966,12357570,4267118.55,33
